"id";"matricula";"disciplina";"periodo";"teste";"prova";"final";"resultado";"status";"semestre";"dia_hora"
"6";"3";"opa";"";"4";"0";"5";"0";"";"";""
"7";"7";"s";"";"2";"0";"0";"0";"";"";""
"8";"9";"Introdução à Psicologia";"";"5";"0";"0";"0";"0";"";""
"11";"11";"PortuguÃƒÂªs Instrumental";"";"4";"0";"0";"0";"0";"1Ã‚Â° Psicologia";""
"12";"11";"Português Instrumental";"";"4";"0";"0";"0";"0";"1° Psicologia";""
"13";"13";"História da Psicologia";"";"5";"0";"0";"0";"0";"8° Psicologia";""
"14";"33";"Introdução à Psicologia";"";"2";"0";"0";"0";"0";"8° Psicologia";""
"15";"43";"Português Instrumental";"";"4";"0";"0";"0";"0";"8° Psicologia";""
"16";"6";"Fundamentos de Neuroanatomia";"";"0";"0";"0";"0";"0";"8° Psicologia";""
"17";"6";"História da Psicologia";"";"3";"7";"5";"3";"Conservado por falta";"8° Serviço Social";""
"30";"30";"Introdução à Psicologia";"2024.3";"0";"0";"0";"0";"0";"8° Psicologia";""
"31";"30";"Português Instrumental";"2024.3";"0";"0";"0";"0";"Abandono";"8° Psicologia";""
"32";"2024";"Português Instrumental";"2024.4";"0";"0";"0";"0";"0";"8° Psicologia";""
"33";"2024";"Português Instrumental";"2024.3";"0";"0";"0";"0";"0";"1° Psicologia";""
"34";"2024";"Metodologia do Trabalho Ciêntífico I";"2024.4";"0";"0";"0";"0";"0";"4° Psicologia";""
"35";"2024";"Introdução à Psicologia";"2024.1";"10";"10";"0";"10";"Aprovado";"1° Psicologia";""
"36";"2024";"Ética na Saúde";"2024.1";"10";"10";"0";"10";"Aprovado";"1° Psicologia";""
"62";"20210393";"Fundamentos Epistêmicos da Psicologia";"2020.2";"10";"10";"0";"10";"Aprovado";"4° Psicologia";""
"63";"20210393";"Planejamento de Carreira e Sucesso Profissional";"2020.2";"10";"10";"0";"10";"Aprovado";"3° Psicologia";""
"64";"20210393";"Educação, Sexualidade e Gênero";"2020.2";"9";"9";"0";"9";"Aprovado";"3° Psicologia";""
"68";"20190716";"Economia Brasileira";"2019.2";"7";"7";"0";"7";"Aprovado";"1° Psicologia";""
"69";"20190716";"Teorias e Sistemas Psicológicos I";"2019.2";"9";"9";"0";"9";"Aprovado";"1° Psicologia";""
"70";"20190716";"Ciência e Profissão";"2019.2";"9";"9";"0";"9";"Aprovado";"1° Psicologia";""
"71";"20190716";"Ciência Politica";"2019.2";"7";"7";"0";"7";"Aprovado";"1° Psicologia";""
"72";"20190716";"Psicologia Social";"2019.2";"9";"9";"0";"9";"Aprovado";"1° Psicologia";""
"73";"20190716";"Saúde Coletiva";"2019.2";"8";"8";"0";"8";"Aprovado";"1° Psicologia";""
"74";"20190716";"Introdução a Neurologia";"2019.2";"8";"8";"0";"8";"Aprovado";"1° Psicologia";""
"75";"20190716";"Filosofia Ética Psicologia";"2019.2";"9";"9";"0";"9";"Aprovado";"1° Psicologia";""
"76";"20190716";"Genética Humana";"2019.2";"9";"9";"0";"9";"Aprovado";"1° Psicologia";""
"77";"20190716";"Psicologia e Processos Clínicos";"2019.2";"9";"9";"0";"9";"Aprovado";"1° Psicologia";""
"78";"20190716";"Fundamentos da Psicanálise";"2019.2";"10";"10";"0";"10";"Aprovado";"1° Psicologia";""
"79";"20190716";"Fisiologia Humana";"2019.2";"10";"10";"0";"10";"Aprovado";"1° Psicologia";""
"80";"20190716";"Introdução à Psicologia";"2020.1";"10";"10";"0";"10";"Aprovado";"2° Psicologia";""
"81";"20190716";"Português Instrumental";"2020.1";"8";"8";"0";"8";"Aprovado";"2° Psicologia";""
"82";"20190716";"História da Psicologia";"2020.1";"8";"8";"0";"8";"Aprovado";"2° Psicologia";""
"83";"20190716";"Fundamentos da Neurologia";"2020.1";"10";"10";"0";"10";"Aprovado";"2° Psicologia";""
"84";"20190716";"Fundamentos da Psicologia Saúde";"2020.1";"10";"10";"0";"10";"Aprovado";"2° Psicologia";""
"85";"20190716";"Metodologia do Trabalho Ciêntífico I";"2020.1";"9";"9";"0";"9";"Aprovado";"2° Psicologia";""
"86";"20190716";"Fundamentos da Psicanálise II";"2020.1";"10";"10";"0";"10";"Aprovado";"2° Psicologia";""
"87";"20190716";"Psicologia da Personalidade";"2020.1";"10";"10";"0";"10";"Aprovado";"2° Psicologia";""
"111";"3";"Psicologia da Personalidade";"3243";"0";"0";"0";"0";"0";"8° Serviço Social";""
"113";"5";"Fundamentos Epistêmicos da Psicologia";"4543";"0";"0";"nÃ£o consta";"0";"0";"8° Serviço Social";""
"123";"20240003";"Didática I";"2024.1";"4.8";"8.8";"";"7";"Aprovado";"I° Semestre Especialização em Docência no Ensino Superior";""
"125";"20240011";"Didática I";"2024.1";"5";"9.4";"";"7.2";"Aprovado";"I° Semestre Especialização em Docência no Ensino Superior";""
"126";"20240013";"Didática I";"2024.1";"4.8";"9.5";"";"7.2";"Aprovado";"I° Semestre Especialização em Docência no Ensino Superior";""
"127";"20240014";"Didática I";"2024.1";"3";"8.7";"";"5.9";"0";"I° Semestre Especialização em Docência no Ensino Superior";""
"128";"20240015";"Didática I";"2024.1";"5";"9";"";"7";"Aprovado";"I° Semestre Especialização em Docência no Ensino Superior";""
"129";"20240017";"Didática I";"2024.1";"4.8";"10";"";"7.4";"Aprovado";"I° Semestre Especialização em Docência no Ensino Superior";""
"130";"20240023";"Didática I";"2024.1";"4.9";"9.4";"";"7.2";"Aprovado";"I° Semestre Especialização em Docência no Ensino Superior";""
"131";"20240024";"Didática I";"2024.1";"4.9";"9.3";"";"7.1";"Aprovado";"I° Semestre Especialização em Docência no Ensino Superior";""
"132";"20240025";"Didática I";"2024.1";"4";"0";"";"0";"0";"I° Semestre Especialização em Docência no Ensino Superior";""
"135";"20190716";"História da Psicologia";"2020.2";"8";"8";"";"8";"Aprovado";"3° Psicologia";""
"138";"20190716";"Desenvolvimento da Infância e Adolescência";"2020.2";"10";"10";"";"10";"Aprovado";"3° Psicologia";""
"139";"20190716";"Educação, Sexualidade e Gênero";"2020.2";"9.5";"9.5";"";"9.5";"Aprovado";"3° Psicologia";""
"140";"20190716";"Fundamentos Epistêmicos da Psicologia";"2021.1";"10";"10";"";"10";"Aprovado";"4° Psicologia";""
"141";"20190716";"Planejamento de Carreira e Sucesso Profissional";"2021.1";"10";"10";"";"10";"Aprovado";"4° Psicologia";""
"143";"20190716";"Psicologia da Motivação e Emoção";"2021.1";"9";"9";"";"9";"Aprovado";"4° Psicologia";""
"144";"20190716";"Psicologia da Percepção";"2021.1";"9.5";"9.5";"";"9.5";"Aprovado";"4° Psicologia";""
"145";"20190716";"Desenvolvimento da Idade Adulta e 3ª Idade";"2021.1";"9.5";"8.6";"";"9.1";"Aprovado";"4° Psicologia";""
"146";"20190716";"Psicologia da Aprendizagem e Memória";"2021.2";"9.5";"10";"";"9.8";"Aprovado";"5° Psicologia";""
"147";"20190716";"Processo Saúde-Doença e Modelos Assistenciais em Saúde";"2021.2";"8";"10";"";"9";"Aprovado";"5° Psicologia";""
"148";"20190716";"Teorias e Sistemas Psicológicos II";"2021.1";"10";"10";"";"10";"Aprovado";"4° Psicologia";""
"149";"20190716";"Teorias e Sistemas Psicológicos IV";"2021.2";"9.6";"7.9";"";"8.8";"Aprovado";"5° Psicologia";""
"150";"20190716";"Análise Experimental do Comportamento";"2021.2";"9.4";"9.1";"";"9.3";"Aprovado";"5° Psicologia";""
"151";"20190716";"Politicas e Programas Públicos em Saúde";"2021.2";"7";"9.4";"";"8.2";"Aprovado";"5° Psicologia";""
"152";"20190716";"Técnicas de Exames Psicológicos";"2022.1";"10";"10";"";"10";"Aprovado";"6° Psicologia";""
"153";"20190716";"Psicofisiologia";"2022.1";"10";"10";"";"10";"Aprovado";"6° Psicologia";""
"154";"20190716";"Metodos de Observação em Psicologia";"2022.1";"9.4";"8.1";"";"8.8";"Aprovado";"6° Psicologia";""
"155";"20190716";"Processos Patológicos";"2022.1";"9";"9.1";"";"9.1";"Aprovado";"6° Psicologia";""
"156";"20190716";"Teorias e Sistemas Psicológicos II";"2022.2";"10";"10";"";"10";"Aprovado";"7° Psicologia";""
"157";"20190716";"Processos Grupais";"2022.2";"10";"9";"";"9.5";"Aprovado";"7° Psicologia";""
"158";"20190716";"Deficiência Intelectual";"2022.2";"8.5";"8.7";"";"8.6";"Aprovado";"7° Psicologia";""
"159";"20190716";"Psicopatologia I";"2022.2";"9";"8.5";"";"8.8";"Aprovado";"7° Psicologia";""
"160";"20190716";"Estágio - Infantil e Adolescente";"2022.2";"10";"10";"";"10";"Aprovado";"7° Psicologia";""
"161";"20190716";"Psicologia do Pensamento e da Linguagem";"2022.2";"7.5";"10";"";"8.8";"Aprovado";"7° Psicologia";""
"162";"20190716";"Ética na Saúde";"2022.2";"8.4";"7.9";"";"8.2";"Aprovado";"7° Psicologia";""
"163";"20190716";"Psicologia da Pessoa Com Necessidades Especiais";"2022.2";"9.5";"7.9";"";"8.7";"Aprovado";"7° Psicologia";""
"164";"20190716";"Psicologia Hospitalar";"2023.1";"10";"10";"";"10";"Aprovado";"8° Psicologia";""
"165";"20190716";"Psicologia e Saúde Mental";"2023.1";"9";"8.5";"";"8.8";"Aprovado";"8° Psicologia";""
"166";"20190716";"Gestão Ambiental e Desenvolvimento Sustentável";"2023.1";"10";"8.8";"";"9.4";"Aprovado";"8° Psicologia";""
"167";"20190716";"Direito Humanos";"2023.1";"9.5";"10";"";"9.8";"Aprovado";"8° Psicologia";""
"169";"20190716";"Metodologia do Trabalho Ciêntífico II";"2023.1";"9.5";"9.5";"";"9.5";"Aprovado";"8° Psicologia";""
"172";"20240002";"Didática I";"2024.1";"7";"7";"";"7";"Aprovado";"Especialização em Docência no Ensino Superior";""
"173";"20240012";"Didática I";"2024.1";"5";"9.5";"";"7.3";"Aprovado";"Especialização em Docência no Ensino Superior";""
