"id";"name";"description";"created_at";"updated_at";"deleted_at";"duration";"duration_type";"course_type"
1;"Atendente de Farmácia";"Atendente de Farmácia";"2025-12-05 14:41:13";"2025-12-05 14:41:21";"";2;"Semestres";"Superior"
2;"Auxiliar de Classe";"Auxiliar de Classe";"2025-12-05 14:41:52";"2025-12-05 14:41:52";"";2;"Semestres";"Superior"
3;"Bacharelado em Administração de Empresas";"Bacharelado em Administração de Empresas";"2025-12-05 14:43:14";"2025-12-05 14:43:14";"";1;"Semestres";"Superior"
4;"Bacharelado em Ciências Contabéis";"Bacharelado em Ciências Contabéis";"2025-12-05 14:43:19";"2025-12-05 14:43:19";"";1;"Semestres";"Superior"
5;"Bacharelado em Pedagogia";"Bacharelado em Pedagogia";"2025-12-05 14:43:28";"2025-12-05 14:43:28";"";1;"Semestres";"Superior"
6;"Bacharelado em Psicologia";"Bacharelado em Psicologia";"2025-12-05 14:43:40";"2025-12-05 14:43:40";"";1;"Semestres";"Superior"
7;"Bacharelado em Serviço Social";"Bacharelado em Serviço Social";"2025-12-05 14:43:51";"2025-12-05 14:43:51";"";1;"Semestres";"Superior"
8;"Complementacão em Educação Fisica";"Complementacão em Educação Fisica";"2025-12-05 14:44:43";"2025-12-05 14:44:43";"";1;"Semestres";"Superior"
9;"Complementação Pedagógica em Geografia";"Complementação Pedagógica em Geografia";"2025-12-05 14:45:11";"2025-12-05 14:45:11";"";1;"Semestres";"Superior"
10;"Complementação Pedagógica em Letras com Inglês";"Complementação em Letras com Inglês";"2025-12-05 14:45:32";"2025-12-13 14:39:11";"";4;"Semestres";"Superior"
11;"Complementação Pedagógica em Matermática";"Complementação Pedagógica em Matermática";"2025-12-05 14:45:42";"2025-12-05 14:45:42";"";1;"Semestres";"Superior"
12;"Complementação Pedagógica em Pedagogia";"Complementação Pedagógica em Pedagogia";"2025-12-05 14:45:57";"2025-12-05 14:45:57";"";1;"Semestres";"Superior"
13;"Docência no Ensino Superior";"Docência no Ensino Superior";"2025-12-05 14:46:08";"2025-12-05 14:46:08";"";1;"Semestres";"Superior"
14;"Especialização em Docência no Ensino Superior";"Especialização em Docência no Ensino Superior";"2025-12-05 14:46:18";"2025-12-05 14:47:44";"";1;"Semestres";"Superior"
15;"Especialização em Neuropsicopedagogia Institucional e Clinica";"Especialização em Neuropsicopedagogia Institucional e Clinica";"2025-12-05 14:46:29";"2025-12-05 14:47:33";"";1;"Semestres";"Superior"
16;"Especialização em Psicopedagogia";"Especialização em Psicopedagogia";"2025-12-05 14:48:04";"2025-12-05 14:48:04";"";1;"Semestres";"Superior"
17;"Especialização em Psicopedagogia Institucional e Clinica";"Especialização em Psicopedagogia Institucional e Clinica";"2025-12-05 14:48:14";"2025-12-05 14:48:14";"";1;"Semestres";"Superior"
18;"Gestão de Clinica Odontológica";"Gestão de Clinica Odontológica";"2025-12-05 14:48:35";"2025-12-05 14:48:35";"";1;"Semestres";"Superior"
19;"Gestão em Agronegócio";"Gestão em Agronegócio";"2025-12-05 14:48:45";"2025-12-05 14:48:45";"";1;"Semestres";"Superior"
20;"Gestão SSP";"Gestão SSP";"2025-12-05 14:48:56";"2025-12-05 14:48:56";"";1;"Semestres";"Superior"
21;"Graduacão em Direito";"10 semestres - Bacharelado";"2025-12-05 14:49:15";"2025-12-13 14:40:44";"";10;"Semestres";"Superior"
22;"Graduação em Educação Fisica";"Graduação em Educação Fisica";"2025-12-05 14:49:38";"2025-12-05 14:49:38";"";1;"Semestres";"Superior"
23;"Graduação em Pedagogia";"Graduação em Pedagogia";"2025-12-05 14:49:52";"2025-12-05 14:49:52";"";1;"Semestres";"Superior"
24;"Graduação em Psicologia";"Graduação em Psicologia";"2025-12-05 14:50:05";"2025-12-05 14:50:05";"";1;"Semestres";"Superior"
25;"Graduação em Serviço Social";"Graduação em Serviço Social";"2025-12-05 14:50:33";"2025-12-05 14:50:33";"";1;"Semestres";"Superior"
26;"Licenciatura em Educação Física";"Licenciatura em Educação Física";"2025-12-05 14:50:51";"2025-12-05 14:50:51";"";1;"Semestres";"Superior"
27;"Licenciatura em História I°";"Licenciatura em História I°";"2025-12-05 14:51:04";"2025-12-05 14:51:04";"";1;"Semestres";"Superior"
28;"Licenciatura em Pedagogia";"Licenciatura em Pedagogia";"2025-12-05 14:51:22";"2025-12-05 14:51:22";"";1;"Semestres";"Superior"
29;"Pedagogia";"Pedagogia";"2025-12-05 14:51:35";"2025-12-05 14:51:35";"";1;"Semestres";"Superior"
30;"Pós Graduação em Psicopedagogia Institucional e Clinica";"Pós Graduação em Psicopedagogia Institucional e Clinica";"2025-12-05 14:51:56";"2025-12-05 14:51:56";"";1;"Semestres";"Superior"
31;"Pós Graduação em  Neuropsicopedagogia Institucional e Clinica";"Pós Graduação em  Neuropsicopedagogia Institucional e Clinica";"2025-12-05 14:52:35";"2025-12-05 14:52:35";"";1;"Semestres";"Superior"
32;"Pós Graduação em Docência no Ensino Superior";"Pós Graduação em Docência no Ensino Superior";"2025-12-05 14:52:52";"2025-12-05 14:52:52";"";1;"Semestres";"Superior"
33;"Pós Graduação em Educação Antirracista";"Pós Graduação em Educação Antirracista";"2025-12-05 14:53:08";"2025-12-05 14:53:08";"";1;"Semestres";"Superior"
34;"Pós Graduação em Educação Especial e Inclusiva";"Pós Graduação em Educação Especial e Inclusiva";"2025-12-05 14:53:21";"2025-12-05 14:53:21";"";1;"Semestres";"Superior"
36;"Psicologia";"Psicologia";"2025-12-05 14:53:52";"2025-12-05 14:53:52";"";1;"Semestres";"Superior"
37;"Psicopedagogia";"Psicopedagogia";"2025-12-05 14:54:09";"2025-12-05 14:54:09";"";1;"Semestres";"Superior"
38;"Psicopedagogia Institucional e Clinica";"Psicopedagogia Institucional e Clinica";"2025-12-05 14:54:19";"2025-12-05 14:54:19";"";1;"Semestres";"Superior"
39;"Serviço Social";"Serviço Social";"2025-12-05 14:54:31";"2025-12-05 14:54:31";"";1;"Semestres";"Superior"
40;"Sociologia";"Sociologia";"2025-12-05 14:54:49";"2025-12-05 14:54:49";"";1;"Semestres";"Superior"
41;"Superior em Gestão em Agronegócio";"Superior em Gestão em Agronegócio";"2025-12-05 14:55:09";"2025-12-05 14:55:09";"";1;"Semestres";"Superior"
42;"Superior em Gestão de Segurança Pública e Privada";"Superior em Gestão de Segurança Pública e Privada";"2025-12-05 14:55:21";"2025-12-05 14:55:21";"";1;"Semestres";"Superior"
44;"Superior em Gestão em Agronegócio 01";"Superior em Gestão em Agronegócio 01";"2025-12-05 14:55:58";"2025-12-05 14:55:58";"";1;"Semestres";"Superior"
45;"Superior em Gestão em Agronegócio 02";"Superior em Gestão em Agronegócio 02";"2025-12-05 14:56:12";"2025-12-05 14:56:12";"";1;"Semestres";"Superior"
46;"Técnico em Enfermagem";"Técnico em Enfermagem";"2025-12-05 14:56:21";"2025-12-05 14:56:21";"";1;"Semestres";"Superior"
47;"Técnico em Servicos Jurídicos";"Técnico em Servicos Jurídicos";"2025-12-05 14:56:46";"2025-12-05 14:56:46";"";1;"Semestres";"Superior"
48;"Graduação em Administração";"Graduação em Administração";"2025-12-05 19:30:03";"2025-12-05 19:30:03";"";1;"Semestres";"Superior"
49;"Graduação em Arte";"Graduação em Arte";"2025-12-05 19:30:24";"2025-12-05 19:30:24";"";1;"Semestres";"Superior"
50;"Graduação em Ciências Contabéis";"Graduação em Ciências Contabéis";"2025-12-05 19:30:43";"2025-12-05 19:30:43";"";1;"Semestres";"Superior"
51;"Direito";"10 Semestres";"2025-12-13 14:40:05";"2025-12-13 14:40:23";"2025-12-13 14:40:23";10;"Semestres";"Superior"
