"id";"student_id";"course_id";"status";"enrollment_date";"created_at";"updated_at";"deleted_at"
1;2;6;"pending";"2025-12-05";"2025-12-05 19:15:44";"2025-12-15 21:52:33";""
2;3;32;"pending";"2025-12-05";"2025-12-05 19:15:44";"2025-12-15 21:52:33";""
3;4;14;"pending";"2025-12-05";"2025-12-05 19:15:44";"2025-12-15 21:52:33";""
4;5;14;"pending";"2025-12-05";"2025-12-05 19:15:44";"2025-12-15 21:52:33";""
5;6;14;"pending";"2025-12-05";"2025-12-05 19:15:44";"2025-12-15 21:52:33";""
6;7;14;"pending";"2025-12-05";"2025-12-05 19:15:44";"2025-12-15 21:52:33";""
7;8;14;"pending";"2025-12-05";"2025-12-05 19:15:44";"2025-12-15 21:52:33";""
8;9;14;"pending";"2025-12-05";"2025-12-05 19:15:44";"2025-12-15 21:52:33";""
9;10;14;"pending";"2025-12-05";"2025-12-05 19:15:44";"2025-12-15 21:52:33";""
10;11;14;"pending";"2025-12-05";"2025-12-05 19:15:44";"2025-12-15 21:52:33";""
11;12;2;"pending";"2025-12-05";"2025-12-05 19:15:44";"2025-12-15 21:52:33";""
12;13;2;"pending";"2025-12-05";"2025-12-05 19:15:44";"2025-12-15 21:52:33";""
13;14;2;"pending";"2025-12-05";"2025-12-05 19:15:44";"2025-12-15 21:52:33";""
14;15;2;"pending";"2025-12-05";"2025-12-05 19:15:44";"2025-12-15 21:52:33";""
15;16;2;"pending";"2025-12-05";"2025-12-05 19:15:44";"2025-12-15 21:52:33";""
16;17;2;"pending";"2025-12-05";"2025-12-05 19:15:44";"2025-12-15 21:52:33";""
17;18;2;"pending";"2025-12-05";"2025-12-05 19:15:44";"2025-12-15 21:52:33";""
18;19;2;"pending";"2025-12-05";"2025-12-05 19:15:44";"2025-12-15 21:52:33";""
19;20;2;"pending";"2025-12-05";"2025-12-05 19:15:44";"2025-12-15 21:52:33";""
20;21;2;"pending";"2025-12-05";"2025-12-05 19:15:44";"2025-12-15 21:52:33";""
21;22;2;"pending";"2025-12-05";"2025-12-05 19:15:44";"2025-12-15 21:52:33";""
22;23;2;"pending";"2025-12-05";"2025-12-05 19:15:44";"2025-12-15 21:52:33";""
23;24;2;"pending";"2025-12-05";"2025-12-05 19:15:44";"2025-12-15 21:52:33";""
24;25;2;"pending";"2025-12-05";"2025-12-05 19:15:44";"2025-12-15 21:52:33";""
25;26;2;"pending";"2025-12-05";"2025-12-05 19:15:44";"2025-12-15 21:52:33";""
26;27;2;"pending";"2025-12-05";"2025-12-05 19:15:44";"2025-12-15 21:52:33";""
27;28;2;"pending";"2025-12-05";"2025-12-05 19:15:44";"2025-12-15 21:52:33";""
28;29;2;"pending";"2025-12-05";"2025-12-05 19:15:44";"2025-12-15 21:52:33";""
29;30;2;"pending";"2025-12-05";"2025-12-05 19:15:44";"2025-12-15 21:52:33";""
30;31;2;"pending";"2025-12-05";"2025-12-05 19:15:44";"2025-12-15 21:52:33";""
31;32;2;"pending";"2025-12-05";"2025-12-05 19:15:44";"2025-12-15 21:52:33";""
32;33;2;"pending";"2025-12-05";"2025-12-05 19:15:44";"2025-12-15 21:52:33";""
33;34;2;"pending";"2025-12-05";"2025-12-05 19:15:44";"2025-12-15 21:52:33";""
34;35;2;"pending";"2025-12-05";"2025-12-05 19:15:44";"2025-12-15 21:52:33";""
35;36;2;"pending";"2025-12-05";"2025-12-05 19:15:44";"2025-12-15 21:52:33";""
36;37;1;"pending";"2025-12-05";"2025-12-05 19:15:44";"2025-12-15 21:52:33";""
37;38;2;"pending";"2025-12-05";"2025-12-05 19:15:44";"2025-12-15 21:52:33";""
38;39;2;"pending";"2025-12-05";"2025-12-05 19:15:44";"2025-12-15 21:52:33";""
39;40;2;"pending";"2025-12-05";"2025-12-05 19:15:44";"2025-12-15 21:52:33";""
40;41;1;"pending";"2025-12-05";"2025-12-05 19:15:44";"2025-12-15 21:52:33";""
41;42;1;"pending";"2025-12-05";"2025-12-05 19:15:44";"2025-12-15 21:52:33";""
42;43;2;"pending";"2025-12-05";"2025-12-05 19:15:44";"2025-12-15 21:52:33";""
43;44;1;"pending";"2025-12-05";"2025-12-05 19:15:44";"2025-12-15 21:52:33";""
44;45;22;"pending";"2025-12-05";"2025-12-05 19:15:44";"2025-12-15 21:52:33";""
45;46;14;"pending";"2025-12-05";"2025-12-05 19:15:44";"2025-12-15 21:52:33";""
46;47;1;"pending";"2025-12-05";"2025-12-05 19:15:44";"2025-12-15 21:52:33";""
47;48;2;"pending";"2025-12-05";"2025-12-05 19:15:44";"2025-12-15 21:52:33";""
48;49;2;"pending";"2025-12-05";"2025-12-05 19:15:44";"2025-12-15 21:52:33";""
49;50;14;"pending";"2025-12-05";"2025-12-05 19:15:44";"2025-12-15 21:52:33";""
50;51;14;"pending";"2025-12-05";"2025-12-05 19:15:44";"2025-12-15 21:52:33";""
51;52;17;"pending";"2025-12-05";"2025-12-05 19:15:44";"2025-12-15 21:52:33";""
52;53;14;"pending";"2025-12-05";"2025-12-05 19:15:44";"2025-12-15 21:52:33";""
53;54;14;"pending";"2025-12-05";"2025-12-05 19:15:44";"2025-12-15 21:52:33";""
54;55;14;"pending";"2025-12-05";"2025-12-05 19:15:44";"2025-12-15 21:52:33";""
55;56;14;"pending";"2025-12-05";"2025-12-05 19:15:44";"2025-12-15 21:52:33";""
56;57;14;"pending";"2025-12-05";"2025-12-05 19:15:44";"2025-12-15 21:52:33";""
57;58;14;"pending";"2025-12-05";"2025-12-05 19:15:44";"2025-12-15 21:52:33";""
58;59;41;"pending";"2025-12-05";"2025-12-05 19:15:44";"2025-12-15 21:52:33";""
59;60;41;"pending";"2025-12-05";"2025-12-05 19:15:44";"2025-12-15 21:52:33";""
60;61;41;"pending";"2025-12-05";"2025-12-05 19:15:44";"2025-12-15 21:52:33";""
61;62;41;"pending";"2025-12-05";"2025-12-05 19:15:44";"2025-12-15 21:52:33";""
62;63;45;"pending";"2025-12-05";"2025-12-05 19:15:44";"2025-12-15 21:52:33";""
63;64;44;"pending";"2025-12-05";"2025-12-05 19:15:44";"2025-12-15 21:52:33";""
64;65;45;"pending";"2025-12-05";"2025-12-05 19:15:44";"2025-12-15 21:52:33";""
65;66;41;"pending";"2025-12-05";"2025-12-05 19:15:44";"2025-12-15 21:52:33";""
66;67;41;"pending";"2025-12-05";"2025-12-05 19:15:44";"2025-12-15 21:52:33";""
67;68;41;"pending";"2025-12-05";"2025-12-05 19:15:44";"2025-12-15 21:52:33";""
68;69;41;"pending";"2025-12-05";"2025-12-05 19:15:44";"2025-12-15 21:52:33";""
69;70;9;"pending";"2025-12-05";"2025-12-05 19:15:44";"2025-12-15 21:52:33";""
70;71;12;"pending";"2025-12-05";"2025-12-05 19:15:44";"2025-12-15 21:52:33";""
71;72;10;"pending";"2025-12-05";"2025-12-05 19:15:44";"2025-12-15 21:52:33";""
72;73;3;"pending";"2025-12-05";"2025-12-05 19:15:44";"2025-12-15 21:52:33";""
73;74;3;"pending";"2025-12-05";"2025-12-05 19:15:44";"2025-12-15 21:52:33";""
74;75;3;"pending";"2025-12-05";"2025-12-05 19:15:44";"2025-12-15 21:52:33";""
75;76;14;"pending";"2025-12-05";"2025-12-05 19:15:44";"2025-12-15 21:52:33";""
76;77;6;"pending";"2025-12-05";"2025-12-05 19:15:44";"2025-12-17 21:48:08";""
77;78;6;"pending";"2025-12-05";"2025-12-05 19:15:44";"2025-12-15 21:52:33";""
78;79;6;"pending";"2025-12-05";"2025-12-05 19:15:44";"2025-12-15 21:52:33";""
79;80;6;"pending";"2025-12-05";"2025-12-05 19:15:44";"2025-12-15 21:52:33";""
80;81;6;"pending";"2025-12-05";"2025-12-05 19:15:44";"2025-12-15 21:52:33";""
81;82;6;"pending";"2025-12-05";"2025-12-05 19:15:44";"2025-12-15 21:52:33";""
